epoch,loss,train_mean_acc,val_mean_acc,acc_train_908,acc_train_756,acc_train_44486,acc_train_46379,acc_train_755,acc_train_873,acc_train_1005,acc_train_764,acc_train_814,acc_train_44597,acc_train_795,acc_train_783,acc_train_859,acc_train_899,acc_train_747,acc_train_444,acc_train_42186,acc_train_939,acc_train_1554,acc_train_1013,acc_train_853,acc_train_472,acc_train_46875,acc_train_792,acc_train_998,acc_train_277,acc_train_994,acc_train_738,acc_train_886,acc_train_742,acc_train_45966,acc_train_459,acc_train_1508,acc_train_1055,acc_train_44592,acc_train_448,acc_train_59,acc_train_1016,acc_train_374,acc_train_40682,acc_train_975,acc_train_817,acc_train_1003,acc_train_729,acc_train_774,acc_train_44557,acc_train_1009,acc_train_788,acc_train_45627,acc_train_1520,acc_train_874,acc_train_866,acc_train_44589,acc_train_973,acc_train_40981,acc_train_972,acc_train_40681,acc_train_842,acc_train_40660,acc_train_829,acc_train_46778,acc_train_924,acc_train_346,acc_train_798,acc_train_40496,acc_train_767,acc_train_968,acc_train_45939,acc_train_41919,acc_train_891,acc_train_839,acc_train_1511,acc_train_869,acc_train_753,acc_train_44590,acc_train_41496,acc_train_907,acc_train_831,acc_train_746,acc_train_893,acc_train_1449,acc_train_841,acc_train_1100,acc_train_46308,acc_train_44098,acc_train_1066,acc_train_40714,acc_train_834,acc_train_949,acc_train_46505,acc_train_860,acc_train_1064,acc_train_46279,acc_train_43859,acc_val_813
1,0.46135019767813307,0.7910340093003323,0.9333333333333333,0.5083333333333333,0.9583333333333334,0.8454106280193237,1.0,0.7894736842105263,0.9066666666666666,0.8,0.9259259259259259,0.8723404255319149,0.7688888888888888,0.45226130653266333,0.9,1.0,0.8260869565217391,0.9215686274509803,0.775,0.9777777777777777,1.0,0.38666666666666666,0.9285714285714286,0.9013157894736842,0.8518518518518519,0.9607843137254902,0.92,0.5294117647058824,0.6086956521739131,1.0,0.7758620689655172,0.62,0.9533333333333334,1.0,0.76,0.8512396694214877,0.6666666666666666,0.5025906735751295,0.7777777777777778,0.9433962264150944,1.0,0.725,0.9846153846153847,0.9375,0.7333333333333333,0.925,0.8571428571428571,0.5376884422110553,0.8464566929133859,0.7368421052631579,0.75,0.2,0.78,1.0,0.94,0.5025906735751295,0.9814814814814815,0.8454106280193237,0.8666666666666667,0.8205128205128205,0.42857142857142855,0.6923076923076923,0.8,0.96875,0.8974358974358975,0.6666666666666666,0.5777777777777777,0.54,0.9370629370629371,0.8811881188118812,1.0,0.5283018867924528,0.9285714285714286,0.9532163742690059,0.9393939393939394,0.9466666666666667,0.5254237288135594,0.5025906735751295,0.5,0.5166666666666667,0.8898305084745762,0.9066666666666666,0.5454545454545454,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7633333333333333,0.75,0.9,0.8933333333333333,0.8630952380952381,0.5787037037037037,0.8421052631578947,0.9354838709677419,0.9726027397260274,0.9777777777777777,0.9333333333333333
2,0.4439670367249043,0.785179894491621,0.9433333333333334,0.48333333333333334,0.9583333333333334,0.8599033816425121,1.0,0.8421052631578947,0.88,0.8153846153846154,0.9407407407407408,0.8723404255319149,0.7688888888888888,0.49246231155778897,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.775,0.9777777777777777,1.0,0.38666666666666666,0.9285714285714286,0.9013157894736842,0.8148148148148148,0.9607843137254902,0.9266666666666666,0.5294117647058824,0.6086956521739131,1.0,0.7931034482758621,0.64,0.9533333333333334,1.0,0.76,0.8512396694214877,0.4444444444444444,0.47668393782383417,0.6944444444444444,0.9339622641509434,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.47738693467336685,0.8622047244094488,0.7368421052631579,0.7321428571428571,0.4,0.72,1.0,0.9433333333333334,0.47668393782383417,0.9814814814814815,0.8599033816425121,0.8,0.8461538461538461,0.6428571428571429,0.6923076923076923,0.8,0.96875,0.8974358974358975,0.7333333333333333,0.4777777777777778,0.5466666666666666,0.9370629370629371,0.900990099009901,1.0,0.5283018867924528,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.5423728813559322,0.47668393782383417,0.5,0.48333333333333334,0.8813559322033898,0.8933333333333333,0.5454545454545454,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7466666666666667,0.6590909090909091,0.7,0.8666666666666667,0.8630952380952381,0.5740740740740741,0.8596491228070176,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.9433333333333334
3,0.43815374750732966,0.7963799610035911,0.9333333333333333,0.5166666666666667,0.9583333333333334,0.8454106280193237,1.0,0.8421052631578947,0.88,0.8153846153846154,0.9185185185185185,0.8865248226950354,0.7911111111111111,0.49748743718592964,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38,0.9285714285714286,0.8881578947368421,0.8148148148148148,0.9607843137254902,0.94,0.5294117647058824,0.6086956521739131,1.0,0.7931034482758621,0.64,0.9466666666666667,1.0,0.76,0.8512396694214877,0.7407407407407407,0.5129533678756477,0.7777777777777778,0.9433962264150944,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.5226130653266332,0.8543307086614174,0.7368421052631579,0.7678571428571429,0.6,0.8,1.0,0.94,0.5129533678756477,0.9814814814814815,0.8454106280193237,0.8,0.8461538461538461,0.42857142857142855,0.6923076923076923,0.8,0.96875,0.8974358974358975,0.7333333333333333,0.5888888888888889,0.5733333333333334,0.9370629370629371,0.9108910891089109,1.0,0.5283018867924528,0.9285714285714286,0.9532163742690059,0.9393939393939394,0.9533333333333334,0.4915254237288136,0.5129533678756477,0.5,0.5,0.8898305084745762,0.9066666666666666,0.5454545454545454,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.77,0.6590909090909091,0.9,0.8933333333333333,0.8630952380952381,0.5787037037037037,0.8596491228070176,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.9333333333333333
4,0.43475431214013605,0.7962087541642395,0.93,0.49166666666666664,0.9583333333333334,0.8454106280193237,1.0,0.8421052631578947,0.8933333333333333,0.8153846153846154,0.9111111111111111,0.8865248226950354,0.7688888888888888,0.4824120603015075,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.775,0.9777777777777777,1.0,0.3933333333333333,0.9285714285714286,0.8881578947368421,0.8148148148148148,0.9607843137254902,0.9133333333333333,0.5882352941176471,0.6086956521739131,1.0,0.7931034482758621,0.6333333333333333,0.9533333333333334,1.0,0.76,0.8512396694214877,0.7407407407407407,0.5129533678756477,0.7777777777777778,0.9339622641509434,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.925,0.7857142857142857,0.5628140703517588,0.8464566929133859,0.7368421052631579,0.75,0.6,0.8,1.0,0.9366666666666666,0.5129533678756477,0.9814814814814815,0.8454106280193237,0.8,0.8461538461538461,0.42857142857142855,0.7692307692307693,0.8,0.96875,0.8974358974358975,0.7333333333333333,0.5777777777777777,0.6266666666666667,0.9370629370629371,0.8910891089108911,1.0,0.5283018867924528,0.9285714285714286,0.9532163742690059,0.9393939393939394,0.9466666666666667,0.5084745762711864,0.5129533678756477,0.5,0.48333333333333334,0.8813559322033898,0.9066666666666666,0.5454545454545454,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7733333333333333,0.7272727272727273,0.8,0.8933333333333333,0.8630952380952381,0.5833333333333334,0.8421052631578947,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.93
5,0.43125338247204803,0.7941162576544778,0.94,0.5333333333333333,0.9583333333333334,0.8599033816425121,1.0,0.8421052631578947,0.88,0.8153846153846154,0.9333333333333333,0.8723404255319149,0.7733333333333333,0.4623115577889447,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.775,0.9777777777777777,1.0,0.38,0.9285714285714286,0.8947368421052632,0.8148148148148148,0.9607843137254902,0.9266666666666666,0.5882352941176471,0.6086956521739131,1.0,0.7931034482758621,0.66,0.9466666666666667,1.0,0.76,0.8512396694214877,0.7407407407407407,0.5025906735751295,0.7777777777777778,0.9339622641509434,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.925,0.7857142857142857,0.5879396984924623,0.8543307086614174,0.7368421052631579,0.7678571428571429,0.4,0.8,1.0,0.9433333333333334,0.5025906735751295,1.0,0.8599033816425121,0.8,0.8461538461538461,0.42857142857142855,0.7692307692307693,0.8,0.96875,0.8974358974358975,0.6666666666666666,0.5888888888888889,0.6266666666666667,0.9370629370629371,0.9108910891089109,1.0,0.5283018867924528,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.5254237288135594,0.5025906735751295,0.5,0.48333333333333334,0.8813559322033898,0.8933333333333333,0.5,0.881578947368421,0.968421052631579,0.5138888888888888,0.30434782608695654,0.7833333333333333,0.6590909090909091,0.8,0.88,0.8630952380952381,0.5879629629629629,0.8596491228070176,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.94
6,0.42781418785707126,0.7906080569287154,0.94,0.5166666666666667,0.9583333333333334,0.8599033816425121,1.0,0.7894736842105263,0.8666666666666667,0.8153846153846154,0.9333333333333333,0.8723404255319149,0.7733333333333333,0.45226130653266333,0.8333333333333334,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38,0.9285714285714286,0.8947368421052632,0.8518518518518519,0.9607843137254902,0.9333333333333333,0.5882352941176471,0.6086956521739131,1.0,0.7758620689655172,0.6333333333333333,0.9466666666666667,1.0,0.76,0.8512396694214877,0.6666666666666666,0.49740932642487046,0.7777777777777778,0.9245283018867925,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.5226130653266332,0.84251968503937,0.7368421052631579,0.7142857142857143,0.4,0.76,1.0,0.9466666666666667,0.49740932642487046,1.0,0.8599033816425121,0.8,0.8461538461538461,0.5,0.6923076923076923,0.8,0.96875,0.8974358974358975,0.6666666666666666,0.5777777777777777,0.6333333333333333,0.9370629370629371,0.9108910891089109,1.0,0.5220125786163522,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.5254237288135594,0.49740932642487046,0.5,0.525,0.8728813559322034,0.9066666666666666,0.5454545454545454,0.8552631578947368,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7566666666666667,0.6590909090909091,0.8,0.88,0.8630952380952381,0.5833333333333334,0.8508771929824561,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.94
7,0.4254472188575276,0.7923477308076753,0.94,0.5,0.9583333333333334,0.8599033816425121,1.0,0.7894736842105263,0.8666666666666667,0.8153846153846154,0.9333333333333333,0.8794326241134752,0.7733333333333333,0.47738693467336685,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38,0.9285714285714286,0.8947368421052632,0.8148148148148148,0.9607843137254902,0.9333333333333333,0.5294117647058824,0.6086956521739131,1.0,0.7931034482758621,0.64,0.9466666666666667,1.0,0.76,0.8512396694214877,0.7407407407407407,0.533678756476684,0.7777777777777778,0.9245283018867925,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.5577889447236181,0.8307086614173228,0.7368421052631579,0.7678571428571429,0.4,0.72,1.0,0.9433333333333334,0.533678756476684,1.0,0.8599033816425121,0.8,0.8461538461538461,0.42857142857142855,0.7692307692307693,0.8,0.96875,0.8974358974358975,0.7333333333333333,0.5777777777777777,0.5933333333333334,0.9370629370629371,0.9108910891089109,1.0,0.5345911949685535,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.5084745762711864,0.533678756476684,0.5,0.48333333333333334,0.8813559322033898,0.9066666666666666,0.5,0.868421052631579,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7833333333333333,0.6590909090909091,0.8,0.88,0.8630952380952381,0.5879629629629629,0.8596491228070176,0.8387096774193549,0.9726027397260274,0.9777777777777777,0.94
8,0.4209873920414635,0.7902423586571161,0.9333333333333333,0.49166666666666664,0.9583333333333334,0.8454106280193237,1.0,0.8421052631578947,0.88,0.8153846153846154,0.9333333333333333,0.8865248226950354,0.7644444444444445,0.5125628140703518,0.8666666666666667,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38,0.9285714285714286,0.8947368421052632,0.8148148148148148,0.9607843137254902,0.9333333333333333,0.5882352941176471,0.6086956521739131,1.0,0.7931034482758621,0.64,0.94,1.0,0.76,0.8512396694214877,0.6296296296296297,0.49222797927461137,0.7777777777777778,0.9339622641509434,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.925,0.7857142857142857,0.47738693467336685,0.8346456692913385,0.7368421052631579,0.7678571428571429,0.2,0.8,1.0,0.94,0.49222797927461137,0.9814814814814815,0.8454106280193237,0.8,0.8461538461538461,0.5714285714285714,0.7692307692307693,0.8,0.96875,0.8974358974358975,0.7333333333333333,0.5444444444444444,0.64,0.9370629370629371,0.900990099009901,1.0,0.5345911949685535,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9466666666666667,0.5084745762711864,0.49222797927461137,0.5,0.475,0.8813559322033898,0.9066666666666666,0.5,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.75,0.6818181818181818,0.8,0.8933333333333333,0.8630952380952381,0.5833333333333334,0.8421052631578947,0.8709677419354839,0.9726027397260274,0.9777777777777777,0.9333333333333333
9,0.41912299862493835,0.7905738226789522,0.9433333333333334,0.5083333333333333,0.9583333333333334,0.855072463768116,1.0,0.7894736842105263,0.8666666666666667,0.8,0.9259259259259259,0.8652482269503546,0.7822222222222223,0.457286432160804,0.8333333333333334,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38,0.9285714285714286,0.9013157894736842,0.8518518518518519,0.9607843137254902,0.94,0.5882352941176471,0.6086956521739131,1.0,0.7931034482758621,0.6533333333333333,0.9466666666666667,1.0,0.76,0.8512396694214877,0.6666666666666666,0.5233160621761658,0.7777777777777778,0.9245283018867925,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.5376884422110553,0.8385826771653543,0.7368421052631579,0.7142857142857143,0.4,0.8,1.0,0.94,0.5233160621761658,1.0,0.855072463768116,0.8,0.8461538461538461,0.5,0.6153846153846154,0.8,0.96875,0.8974358974358975,0.6,0.5777777777777777,0.64,0.9370629370629371,0.9108910891089109,1.0,0.5283018867924528,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.4915254237288136,0.5233160621761658,0.5,0.525,0.8813559322033898,0.9066666666666666,0.5454545454545454,0.881578947368421,0.9719298245614035,0.5138888888888888,0.30434782608695654,0.7633333333333333,0.6590909090909091,0.8,0.88,0.8630952380952381,0.5879629629629629,0.8596491228070176,0.8387096774193549,0.9726027397260274,0.9777777777777777,0.9433333333333334
10,0.41516118946742686,0.7913585825868198,0.9533333333333334,0.5083333333333333,0.9583333333333334,0.855072463768116,1.0,0.8421052631578947,0.8666666666666667,0.8153846153846154,0.9333333333333333,0.8652482269503546,0.7955555555555556,0.4824120603015075,0.8333333333333334,1.0,0.8260869565217391,0.9215686274509803,0.8,0.9777777777777777,1.0,0.38666666666666666,0.9285714285714286,0.9013157894736842,0.8518518518518519,0.9607843137254902,0.94,0.5294117647058824,0.6086956521739131,1.0,0.7931034482758621,0.6333333333333333,0.9533333333333334,1.0,0.76,0.8512396694214877,0.7407407407407407,0.5077720207253886,0.8055555555555556,0.9245283018867925,1.0,0.725,0.9846153846153847,0.9166666666666666,0.7333333333333333,0.95,0.7857142857142857,0.5226130653266332,0.8503937007874016,0.7368421052631579,0.75,0.4,0.7,1.0,0.9433333333333334,0.5077720207253886,1.0,0.855072463768116,0.8,0.8461538461538461,0.42857142857142855,0.6923076923076923,0.8,0.96875,0.8974358974358975,0.6,0.5888888888888889,0.64,0.9370629370629371,0.9108910891089109,1.0,0.5283018867924528,0.9285714285714286,0.9590643274853801,0.9393939393939394,0.9533333333333334,0.5254237288135594,0.5077720207253886,0.5,0.49166666666666664,0.8728813559322034,0.9066666666666666,0.5,0.881578947368421,0.9649122807017544,0.5,0.30434782608695654,0.76,0.6590909090909091,0.9,0.88,0.8630952380952381,0.5833333333333334,0.8596491228070176,0.8387096774193549,0.9726027397260274,0.9777777777777777,0.9533333333333334
